epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,386.163,0.97782,0.56177,0.20878,0.7175,0.64854,0.69047,0.39549,0.53441,0.49876,0.06439,0.000369983,0.000369983,0.000369983
2,725.149,0.64045,0.47949,0.06719,0.79767,0.71521,0.78152,0.46582,0.49871,0.46685,0.06241,0.000731155,0.000731155,0.000731155
3,1044.73,0.60783,0.46478,0.06188,0.85304,0.7463,0.82881,0.51555,0.47426,0.46424,0.05623,0.00108316,0.00108316,0.00108316
4,1361.71,0.58792,0.45519,0.05872,0.85461,0.76515,0.8418,0.53108,0.46242,0.45431,0.05269,0.00106975,0.00106975,0.00106975
5,1677.47,0.55987,0.45111,0.05487,0.86714,0.76717,0.85058,0.54233,0.45033,0.44056,0.05186,0.00105601,0.00105601,0.00105601
6,1984.69,0.55599,0.44186,0.05375,0.86874,0.81319,0.87619,0.56186,0.43862,0.43924,0.05025,0.00104226,0.00104226,0.00104226
7,2282.12,0.53406,0.4352,0.05097,0.87996,0.82441,0.8916,0.58252,0.43369,0.43394,0.04897,0.00102851,0.00102851,0.00102851
8,2579.53,0.54713,0.43924,0.0532,0.88286,0.81226,0.8831,0.57271,0.44128,0.43605,0.05092,0.00101476,0.00101476,0.00101476
9,2882.77,0.51959,0.4328,0.04935,0.89668,0.82197,0.89839,0.57347,0.44084,0.42684,0.05098,0.00100101,0.00100101,0.00100101
10,3187.75,0.52184,0.43072,0.04888,0.89385,0.83932,0.90369,0.6032,0.41697,0.41768,0.04774,0.000987262,0.000987262,0.000987262
11,3481.76,0.5103,0.42695,0.04792,0.89989,0.83944,0.90808,0.60691,0.41083,0.41606,0.0471,0.000973514,0.000973514,0.000973514
12,3791.33,0.5042,0.42731,0.04803,0.90708,0.83863,0.90583,0.6011,0.41842,0.41403,0.04761,0.000959765,0.000959765,0.000959765
13,4120.11,0.49588,0.42226,0.04721,0.89686,0.84283,0.91019,0.61729,0.40815,0.41261,0.04634,0.000946016,0.000946016,0.000946016
14,4429.9,0.49375,0.42476,0.0466,0.91349,0.85052,0.91303,0.61681,0.4104,0.41103,0.0467,0.000932268,0.000932268,0.000932268
15,4728.11,0.49482,0.42207,0.04668,0.8899,0.8521,0.90985,0.61076,0.40909,0.41482,0.04679,0.000918519,0.000918519,0.000918519
16,5028.68,0.49524,0.42183,0.04656,0.89492,0.85742,0.91273,0.61536,0.40362,0.41005,0.04592,0.000904771,0.000904771,0.000904771
17,5312.63,0.4885,0.41862,0.04584,0.90908,0.86601,0.91724,0.62625,0.39842,0.40496,0.04447,0.000891022,0.000891022,0.000891022
18,5610.56,0.46705,0.41157,0.0435,0.91144,0.86274,0.91597,0.62369,0.3932,0.40513,0.04445,0.000877273,0.000877273,0.000877273
19,5910.63,0.46294,0.41212,0.04331,0.90911,0.86924,0.92272,0.63234,0.39175,0.40528,0.04426,0.000863525,0.000863525,0.000863525
20,6206.71,0.47401,0.41364,0.04388,0.91209,0.86747,0.92687,0.63745,0.39101,0.40146,0.04443,0.000849776,0.000849776,0.000849776
21,6505.7,0.47471,0.41524,0.04452,0.90472,0.86893,0.92302,0.63187,0.39717,0.40829,0.0451,0.000836027,0.000836027,0.000836027
22,6809.35,0.46717,0.41342,0.04379,0.90309,0.87074,0.92314,0.63311,0.39092,0.40484,0.04412,0.000822279,0.000822279,0.000822279
23,7106.45,0.45744,0.408,0.04215,0.90057,0.87389,0.92339,0.64111,0.38322,0.40116,0.04305,0.00080853,0.00080853,0.00080853
24,7414.82,0.45945,0.40823,0.0427,0.91185,0.87483,0.92584,0.63249,0.38721,0.40256,0.04395,0.000794782,0.000794782,0.000794782
25,7733.86,0.45675,0.40786,0.04239,0.90794,0.87261,0.92849,0.63754,0.38534,0.39636,0.04374,0.000781033,0.000781033,0.000781033
26,8032.33,0.45744,0.40886,0.0424,0.9061,0.86841,0.92493,0.63841,0.38869,0.4004,0.04395,0.000767284,0.000767284,0.000767284
27,8329.95,0.449,0.40787,0.04148,0.91311,0.87019,0.92922,0.64415,0.38302,0.39817,0.04372,0.000753536,0.000753536,0.000753536
28,8617.67,0.45418,0.40874,0.04218,0.90887,0.87409,0.93159,0.63858,0.38238,0.39778,0.04305,0.000739787,0.000739787,0.000739787
29,8921.83,0.44608,0.4049,0.04148,0.91576,0.8738,0.93015,0.64369,0.38457,0.39878,0.04373,0.000726038,0.000726038,0.000726038
30,9239.42,0.45189,0.40782,0.04208,0.91191,0.8796,0.93371,0.63896,0.38989,0.40299,0.04412,0.00071229,0.00071229,0.00071229
31,9532.1,0.45184,0.40771,0.04217,0.90772,0.88688,0.93421,0.6551,0.37653,0.39551,0.04238,0.000698541,0.000698541,0.000698541
32,9831.46,0.44099,0.40355,0.04071,0.91044,0.88787,0.93351,0.64662,0.37645,0.39553,0.04239,0.000684793,0.000684793,0.000684793
33,10135.7,0.43525,0.40067,0.03982,0.9141,0.88068,0.93325,0.65637,0.37085,0.39321,0.04217,0.000671044,0.000671044,0.000671044
34,10436.5,0.43573,0.39951,0.03925,0.92436,0.88624,0.93755,0.65921,0.37217,0.39218,0.0422,0.000657295,0.000657295,0.000657295
35,10729.7,0.43833,0.40246,0.04052,0.91939,0.87972,0.93215,0.64996,0.37674,0.39314,0.04306,0.000643547,0.000643547,0.000643547
36,11031.6,0.44157,0.40261,0.0403,0.91753,0.88314,0.93483,0.64965,0.37579,0.39426,0.04253,0.000629798,0.000629798,0.000629798
37,11346.7,0.43316,0.39994,0.03995,0.91987,0.88328,0.93695,0.65469,0.37365,0.3941,0.042,0.000616049,0.000616049,0.000616049
38,11651,0.43005,0.39964,0.03978,0.92045,0.8896,0.9398,0.65632,0.37086,0.39033,0.04198,0.000602301,0.000602301,0.000602301
39,11949.1,0.42587,0.39833,0.03849,0.93114,0.88706,0.94048,0.66361,0.36703,0.3886,0.0416,0.000588552,0.000588552,0.000588552
40,12257.7,0.4255,0.39612,0.03979,0.92186,0.89374,0.94063,0.66337,0.36604,0.38835,0.0413,0.000574804,0.000574804,0.000574804
41,12559.9,0.42289,0.39573,0.03859,0.92668,0.88501,0.93646,0.66055,0.36705,0.39136,0.04168,0.000561055,0.000561055,0.000561055
42,12862.9,0.42408,0.39562,0.03857,0.92187,0.89414,0.94362,0.67216,0.36194,0.38657,0.04067,0.000547306,0.000547306,0.000547306
43,13173.9,0.41871,0.39361,0.03779,0.92399,0.89256,0.94155,0.66749,0.36492,0.38939,0.04109,0.000533558,0.000533558,0.000533558
44,13470.9,0.41565,0.39466,0.03807,0.91752,0.89854,0.94349,0.66802,0.36403,0.38898,0.04102,0.000519809,0.000519809,0.000519809
45,13782.3,0.42045,0.39529,0.03876,0.91674,0.88715,0.93681,0.65606,0.37034,0.39284,0.04163,0.00050606,0.00050606,0.00050606
46,14085.6,0.41474,0.39331,0.03781,0.91623,0.89329,0.94051,0.66858,0.36193,0.38798,0.04099,0.000492312,0.000492312,0.000492312
47,14374.2,0.4078,0.38846,0.03759,0.92823,0.89304,0.94246,0.67179,0.35965,0.38643,0.04051,0.000478563,0.000478563,0.000478563
48,14671.3,0.41181,0.39178,0.03734,0.92911,0.88473,0.94,0.67283,0.36208,0.38636,0.0408,0.000464815,0.000464815,0.000464815
49,14979.6,0.41073,0.38968,0.03778,0.9246,0.89849,0.94647,0.67688,0.35755,0.38531,0.0402,0.000451066,0.000451066,0.000451066
50,15287.8,0.40799,0.38824,0.03689,0.93062,0.89352,0.94524,0.67726,0.35791,0.3851,0.0404,0.000437317,0.000437317,0.000437317
51,15578.5,0.40503,0.3876,0.03626,0.92865,0.90213,0.94682,0.68256,0.35615,0.38147,0.03991,0.000423569,0.000423569,0.000423569
52,15883.7,0.41392,0.3909,0.03789,0.92888,0.89917,0.94655,0.67792,0.35402,0.38329,0.03985,0.00040982,0.00040982,0.00040982
53,16186,0.40798,0.38795,0.03654,0.9284,0.89863,0.94901,0.68463,0.35213,0.38215,0.03956,0.000396071,0.000396071,0.000396071
54,16492.8,0.40266,0.38578,0.03645,0.93026,0.90034,0.95088,0.68202,0.35387,0.3822,0.03967,0.000382323,0.000382323,0.000382323
55,16792.2,0.40027,0.38511,0.03618,0.92865,0.90043,0.94985,0.68311,0.353,0.38202,0.03948,0.000368574,0.000368574,0.000368574
56,17104.4,0.40003,0.38542,0.0359,0.92556,0.90288,0.9486,0.68316,0.35248,0.37938,0.03954,0.000354826,0.000354826,0.000354826
57,17406.6,0.39578,0.38378,0.03573,0.93099,0.89709,0.94907,0.68297,0.35202,0.37871,0.03973,0.000341077,0.000341077,0.000341077
58,17718.9,0.39115,0.38108,0.03522,0.92559,0.90128,0.94892,0.68955,0.3486,0.37855,0.03912,0.000327328,0.000327328,0.000327328
59,18004.7,0.39566,0.38166,0.03519,0.92823,0.90417,0.95035,0.68953,0.34952,0.3787,0.03898,0.00031358,0.00031358,0.00031358
