epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9543,2.07683,1.9052,1.04388,0.55625,0.48842,0.48439,0.23979,2.03835,1.6645,1.07968,0.000369633,0.000369633,0.000369633
2,107.248,1.96525,1.27264,1.00885,0.66948,0.57713,0.6439,0.3577,1.67218,1.16922,1.01131,0.00073081,0.00073081,0.00073081
3,154.266,1.91604,1.17319,0.99563,0.69963,0.60599,0.67109,0.37111,1.7155,1.10119,1.01092,0.00108282,0.00108282,0.00108282
4,200.872,1.88156,1.11018,0.98543,0.74155,0.58352,0.67154,0.3715,1.69829,1.04078,1.00658,0.00106975,0.00106975,0.00106975
5,248.398,1.83849,1.05129,0.97535,0.79804,0.68308,0.7704,0.44302,1.6046,0.83695,0.98144,0.00105601,0.00105601,0.00105601
6,298.559,1.80543,0.99532,0.96666,0.80731,0.65792,0.76013,0.45719,1.55004,0.79916,0.96967,0.00104226,0.00104226,0.00104226
7,347.343,1.75441,0.93456,0.95242,0.7879,0.67876,0.76853,0.45283,1.54471,0.80362,0.9676,0.00102851,0.00102851,0.00102851
8,397.314,1.74042,0.92939,0.95503,0.80658,0.7058,0.78982,0.4764,1.52119,0.77288,0.96246,0.00101476,0.00101476,0.00101476
9,465.257,1.71793,0.90183,0.94357,0.81702,0.7047,0.79757,0.49911,1.48477,0.77428,0.95212,0.00100101,0.00100101,0.00100101
10,513.05,1.7187,0.88517,0.94287,0.82277,0.71366,0.81728,0.51117,1.47481,0.7258,0.95109,0.000987262,0.000987262,0.000987262
11,567.749,1.67818,0.85457,0.93786,0.84666,0.72858,0.82692,0.52087,1.46484,0.7146,0.94745,0.000973514,0.000973514,0.000973514
12,615.813,1.66427,0.84916,0.93573,0.85307,0.73204,0.8334,0.52824,1.44715,0.69521,0.93981,0.000959765,0.000959765,0.000959765
13,665.218,1.65302,0.83328,0.9326,0.83846,0.75147,0.83367,0.53239,1.44562,0.70938,0.94516,0.000946016,0.000946016,0.000946016
14,714.235,1.63573,0.80429,0.92808,0.85966,0.7416,0.83901,0.52825,1.44596,0.70319,0.93828,0.000932268,0.000932268,0.000932268
15,766.156,1.63247,0.81223,0.92524,0.823,0.75474,0.83748,0.53431,1.42053,0.67263,0.93691,0.000918519,0.000918519,0.000918519
16,813.98,1.61066,0.78696,0.92115,0.84524,0.76517,0.85179,0.55728,1.39583,0.65965,0.93483,0.000904771,0.000904771,0.000904771
17,861.525,1.61347,0.78763,0.92212,0.84835,0.77903,0.862,0.56518,1.38422,0.62682,0.92874,0.000891022,0.000891022,0.000891022
18,909.497,1.59844,0.76196,0.91692,0.85962,0.76574,0.86104,0.55592,1.39687,0.65437,0.92949,0.000877273,0.000877273,0.000877273
19,957.982,1.57368,0.74742,0.91398,0.86103,0.77786,0.86421,0.56239,1.37102,0.62382,0.92832,0.000863525,0.000863525,0.000863525
20,1009.47,1.57561,0.74767,0.91275,0.86064,0.79577,0.87655,0.58041,1.36291,0.60384,0.92623,0.000849776,0.000849776,0.000849776
21,1059.95,1.57133,0.75096,0.91721,0.85439,0.79474,0.86915,0.56898,1.36459,0.62654,0.92651,0.000836027,0.000836027,0.000836027
22,1109.92,1.56295,0.74359,0.91448,0.87516,0.78288,0.87029,0.57196,1.37518,0.61957,0.92692,0.000822279,0.000822279,0.000822279
23,1171.49,1.54625,0.72278,0.9079,0.87072,0.80051,0.87482,0.57928,1.35503,0.61484,0.92174,0.00080853,0.00080853,0.00080853
24,1218.35,1.54577,0.72351,0.91036,0.86594,0.80103,0.87918,0.58484,1.34167,0.59563,0.92043,0.000794782,0.000794782,0.000794782
25,1266.99,1.53633,0.71889,0.90917,0.86918,0.80351,0.88011,0.57913,1.34877,0.60119,0.92166,0.000781033,0.000781033,0.000781033
26,1314.85,1.52889,0.71465,0.90586,0.8601,0.80527,0.88005,0.5839,1.33697,0.59849,0.91971,0.000767284,0.000767284,0.000767284
27,1361.47,1.5122,0.69099,0.90369,0.86753,0.80924,0.88678,0.59743,1.31546,0.58609,0.91568,0.000753536,0.000753536,0.000753536
28,1407.82,1.50627,0.68084,0.89855,0.89365,0.8042,0.88399,0.58928,1.33258,0.5825,0.91694,0.000739787,0.000739787,0.000739787
29,1456.3,1.5066,0.68572,0.90334,0.87448,0.79545,0.87843,0.5865,1.32551,0.57849,0.91941,0.000726038,0.000726038,0.000726038
30,1512.64,1.5053,0.69045,0.90257,0.87895,0.81134,0.88743,0.59209,1.31561,0.57691,0.91502,0.00071229,0.00071229,0.00071229
31,1557.75,1.49774,0.68137,0.89885,0.89264,0.81371,0.89469,0.5994,1.31737,0.56496,0.9127,0.000698541,0.000698541,0.000698541
32,1605.46,1.47544,0.6669,0.89553,0.8831,0.82577,0.89749,0.60191,1.32298,0.56089,0.91597,0.000684793,0.000684793,0.000684793
33,1652.91,1.472,0.66484,0.89601,0.86893,0.8237,0.89524,0.60322,1.30108,0.55121,0.9106,0.000671044,0.000671044,0.000671044
34,1699.67,1.47933,0.66436,0.89325,0.87998,0.81508,0.89529,0.60715,1.2896,0.55626,0.90935,0.000657295,0.000657295,0.000657295
35,1746.94,1.47609,0.66443,0.89654,0.8987,0.81905,0.8967,0.61193,1.28724,0.55897,0.90917,0.000643547,0.000643547,0.000643547
36,1795.88,1.46255,0.65973,0.89393,0.891,0.80717,0.89461,0.60983,1.29261,0.55755,0.91077,0.000629798,0.000629798,0.000629798
37,1844.93,1.46534,0.65884,0.89411,0.88817,0.81406,0.89448,0.61188,1.2754,0.55232,0.90915,0.000616049,0.000616049,0.000616049
38,1893.49,1.44534,0.6393,0.88935,0.88582,0.82201,0.89844,0.61408,1.27576,0.55559,0.90905,0.000602301,0.000602301,0.000602301
39,1940.13,1.4532,0.64207,0.88667,0.89093,0.83522,0.90359,0.61957,1.27368,0.53638,0.90711,0.000588552,0.000588552,0.000588552
40,1986.62,1.44119,0.64195,0.89275,0.89577,0.82613,0.9025,0.61863,1.27045,0.538,0.90524,0.000574804,0.000574804,0.000574804
41,2031.46,1.43895,0.63131,0.88662,0.90347,0.8323,0.90641,0.62256,1.26926,0.53372,0.90466,0.000561055,0.000561055,0.000561055
42,2078.18,1.44718,0.64135,0.88623,0.89221,0.83137,0.90264,0.62485,1.25857,0.53106,0.90432,0.000547306,0.000547306,0.000547306
43,2123.96,1.42763,0.62695,0.88775,0.89691,0.82967,0.90674,0.62675,1.25337,0.53329,0.90324,0.000533558,0.000533558,0.000533558
44,2168.87,1.42781,0.62205,0.88561,0.91222,0.83052,0.91123,0.62977,1.25323,0.52716,0.90381,0.000519809,0.000519809,0.000519809
45,2212.76,1.41612,0.61888,0.8836,0.89298,0.84328,0.90943,0.62937,1.25729,0.52304,0.90587,0.00050606,0.00050606,0.00050606
46,2256.09,1.40715,0.61088,0.88324,0.89116,0.8399,0.90799,0.63081,1.24868,0.52403,0.90168,0.000492312,0.000492312,0.000492312
47,2301.97,1.3948,0.60476,0.88376,0.90232,0.84992,0.91495,0.63447,1.24556,0.52058,0.90195,0.000478563,0.000478563,0.000478563
48,2351.49,1.40044,0.61209,0.88081,0.90062,0.84246,0.91133,0.6372,1.23736,0.51715,0.90111,0.000464815,0.000464815,0.000464815
49,2400.03,1.39679,0.60564,0.88349,0.8954,0.84501,0.90805,0.63261,1.23953,0.51196,0.9004,0.000451066,0.000451066,0.000451066
50,2448.23,1.39747,0.60804,0.87878,0.89341,0.84778,0.91294,0.63976,1.22886,0.50588,0.89838,0.000437317,0.000437317,0.000437317
51,2494.41,1.39745,0.60278,0.87909,0.90718,0.84831,0.91358,0.64118,1.23067,0.50815,0.90066,0.000423569,0.000423569,0.000423569
52,2542.63,1.39301,0.60597,0.87809,0.9046,0.83915,0.91228,0.64182,1.22602,0.51651,0.8986,0.00040982,0.00040982,0.00040982
53,2587.96,1.39813,0.60432,0.87933,0.89832,0.85233,0.9156,0.64308,1.23408,0.50226,0.89982,0.000396071,0.000396071,0.000396071
54,2637.2,1.37436,0.58878,0.87511,0.90212,0.84971,0.91736,0.64245,1.22544,0.50012,0.89832,0.000382323,0.000382323,0.000382323
55,2685.48,1.37737,0.59527,0.87739,0.90638,0.8495,0.91541,0.64853,1.2204,0.50523,0.89759,0.000368574,0.000368574,0.000368574
56,2734.48,1.36256,0.58039,0.87288,0.90293,0.84689,0.91775,0.64629,1.2192,0.50179,0.89828,0.000354826,0.000354826,0.000354826
57,2783.05,1.36318,0.57694,0.87517,0.90866,0.85759,0.91805,0.64634,1.21899,0.50167,0.89856,0.000341077,0.000341077,0.000341077
58,2828.82,1.35563,0.57272,0.87356,0.90564,0.84564,0.91825,0.64702,1.21504,0.50126,0.89815,0.000327328,0.000327328,0.000327328
59,2874.51,1.35656,0.5784,0.87106,0.90164,0.8559,0.91609,0.64705,1.21106,0.5061,0.89617,0.00031358,0.00031358,0.00031358
60,2921.35,1.34805,0.57386,0.87222,0.90343,0.85307,0.91733,0.65092,1.20888,0.49782,0.89591,0.000299831,0.000299831,0.000299831
61,2970.01,1.35638,0.58333,0.87143,0.92117,0.84297,0.91681,0.65097,1.20801,0.49645,0.89613,0.000286083,0.000286083,0.000286083
62,3019.1,1.34166,0.56885,0.87394,0.898,0.85895,0.91667,0.65141,1.20563,0.49303,0.89621,0.000272334,0.000272334,0.000272334
63,3065.85,1.33653,0.56477,0.86834,0.90213,0.85116,0.91834,0.65236,1.2041,0.49448,0.89594,0.000258585,0.000258585,0.000258585
64,3110.79,1.33267,0.55551,0.86679,0.90825,0.85024,0.91888,0.65388,1.20316,0.49024,0.89531,0.000244837,0.000244837,0.000244837
65,3156.93,1.32752,0.55941,0.86728,0.91037,0.84502,0.92001,0.65457,1.20108,0.48879,0.89454,0.000231088,0.000231088,0.000231088
66,3204.41,1.32302,0.55432,0.86754,0.90806,0.8555,0.91998,0.6559,1.1984,0.48458,0.89396,0.000217339,0.000217339,0.000217339
67,3251.45,1.31763,0.55285,0.86627,0.90749,0.85544,0.91973,0.65464,1.20034,0.48617,0.89415,0.000203591,0.000203591,0.000203591
68,3304.49,1.31555,0.54891,0.86405,0.90399,0.86043,0.91822,0.65205,1.19601,0.48488,0.8933,0.000189842,0.000189842,0.000189842
69,3359.07,1.31358,0.54909,0.86522,0.91664,0.86243,0.9241,0.65696,1.19341,0.4844,0.89319,0.000176094,0.000176094,0.000176094
70,3409.26,1.31905,0.55045,0.86688,0.91983,0.85167,0.92298,0.65704,1.19819,0.4842,0.89468,0.000162345,0.000162345,0.000162345
71,3463.45,1.2609,0.51372,0.87239,0.9169,0.85385,0.91967,0.65364,1.20398,0.48956,0.89451,0.000148596,0.000148596,0.000148596
72,3508.68,1.24795,0.50608,0.86985,0.9147,0.86098,0.92316,0.65762,1.19951,0.48556,0.89357,0.000134848,0.000134848,0.000134848
73,3555.89,1.23883,0.50027,0.87053,0.9147,0.86232,0.92275,0.65769,1.19872,0.48473,0.89411,0.000121099,0.000121099,0.000121099
74,3602.05,1.24673,0.50542,0.87025,0.91158,0.85738,0.922,0.65674,1.19432,0.48616,0.89419,0.00010735,0.00010735,0.00010735
75,3650.76,1.23556,0.50221,0.8711,0.92069,0.85927,0.92342,0.65903,1.19407,0.48212,0.89366,9.36017e-05,9.36017e-05,9.36017e-05
76,3698.24,1.2361,0.49598,0.86896,0.91995,0.86114,0.9237,0.65896,1.19259,0.48204,0.89271,7.98531e-05,7.98531e-05,7.98531e-05
77,3745.42,1.2132,0.48638,0.86826,0.92022,0.86326,0.92274,0.65967,1.19042,0.48062,0.89292,6.61045e-05,6.61045e-05,6.61045e-05
78,3792.98,1.22489,0.49227,0.86817,0.91432,0.86297,0.92348,0.65971,1.19051,0.48009,0.89305,5.23559e-05,5.23559e-05,5.23559e-05
79,3839.1,1.21459,0.48669,0.86473,0.9195,0.86074,0.92361,0.6606,1.1882,0.48025,0.89258,3.86073e-05,3.86073e-05,3.86073e-05
80,3885.23,1.21728,0.4896,0.86738,0.9191,0.86078,0.92443,0.66159,1.18915,0.48026,0.8928,2.48586e-05,2.48586e-05,2.48586e-05
